player_name,fa_year,age_at_fa,position,games_3yr_avg,ab_3yr_avg,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,wrc_plus_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,kk_3yr_avg,sb_3yr_avg,cs_3yr_avg,gd_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,contract_years,total_contract_amount,annual_avg_salary,team
이대호,2021,39,1B,141.0,523.3333333333334,0.3031274436455705,0.36766666666666664,0.49333333333333335,0.8610000000000001,107.46666666666668,24.333333333333332,107.66666666666667,65.33333333333333,159.0,26.666666666666668,0.3333333333333333,47.666666666666664,69.33333333333333,0.3333333333333333,,,1.127,3.5566666666666666,10.67,2,26.0,13.0,롯데
김재호,2021,35,SS,127.0,393.6666666666667,0.28913566561533616,0.377,0.39466666666666667,0.7716666666666666,121.0,7.333333333333333,54.0,59.0,114.0,19.0,0.3333333333333333,54.666666666666664,60.0,5.0,,,-0.4876666666666667,2.6300000000000003,7.890000000000001,3,25.0,8.33,두산
이원석,2021,34,3B,120.0,425.6666666666667,0.2713953331655073,0.3473333333333333,0.447,0.7943333333333333,90.83333333333333,17.333333333333332,81.0,54.666666666666664,116.33333333333333,22.333333333333332,0.3333333333333333,48.0,86.0,1.3333333333333333,,,0.5013333333333333,1.63,4.89,3,20.0,6.67,삼성
정수빈,2021,29,OF,96.66666666666667,343.0,0.31020408163265306,0.3836666666666666,0.3986666666666667,0.7823333333333334,123.96666666666665,2.3333333333333335,41.0,59.666666666666664,99.66666666666667,12.666666666666666,4.666666666666667,41.0,43.0,15.333333333333334,,,-0.551,2.2600000000000002,6.78,6,56.0,9.33,두산
최형우,2021,38,OF,139.66666666666666,502.0,0.33128662609152626,0.42,0.5413333333333333,0.9613333333333333,149.96666666666667,23.333333333333332,101.33333333333333,83.33333333333333,167.0,34.0,1.0,73.66666666666667,88.33333333333333,1.0,,,3.7126666666666672,5.796666666666667,17.39,3,47.0,15.67,KIA
오재일,2021,33,1B,126.66666666666667,446.3333333333333,0.2949218469440813,0.37733333333333335,0.5053333333333333,0.8826666666666667,154.46666666666667,21.333333333333332,90.33333333333333,69.0,132.0,26.666666666666668,1.0,58.666666666666664,104.0,1.6666666666666667,,,1.0563333333333336,5.75,17.25,4,50.0,12.5,삼성
최주환,2021,32,2B,139.0,514.0,0.3199083169613621,0.3815,0.5275,0.909,150.8,21.0,98.0,75.0,164.5,34.0,5.0,49.0,77.5,1.5,,,1.4095,5.495,10.99,4,42.0,10.5,SK
허경민,2021,28,3B,127.66666666666667,476.0,0.31462408126821945,0.36933333333333335,0.424,0.7933333333333333,123.3,7.0,65.66666666666667,75.33333333333333,149.66666666666666,26.666666666666668,2.3333333333333335,33.666666666666664,38.666666666666664,15.0,,,-0.244,2.7166666666666663,8.149999999999999,7,85.0,12.14,두산
김용의,2021,33,OF,109.66666666666667,136.0,0.2406700229721205,0.3036666666666667,0.2936666666666667,0.5973333333333333,72.13333333333334,0.3333333333333333,14.0,30.333333333333332,31.666666666666668,2.6666666666666665,1.3333333333333333,14.333333333333334,28.333333333333332,8.333333333333334,,,-0.6,0.003333333333333336,0.010000000000000009,1,2.0,2.0,LG
김성현,2021,31,IF,137.33333333333334,394.6666666666667,0.26490811107114776,0.32466666666666666,0.326,0.6506666666666666,72.86666666666666,2.3333333333333335,38.0,43.333333333333336,104.33333333333333,14.666666666666666,1.3333333333333333,30.666666666666668,37.333333333333336,4.333333333333333,,,-2.421666666666667,0.56,1.6800000000000002,3,11.0,3.67,SK
최재훈,2022,31,C,125.66666666666667,362.3333333333333,0.288365286114604,0.3953333333333333,0.37733333333333335,0.7726666666666667,119.0,4.333333333333333,37.0,48.333333333333336,104.33333333333333,19.333333333333332,0.0,52.333333333333336,57.666666666666664,2.0,,,-0.868,2.7300000000000004,8.190000000000001,5,54.0,10.8,한화
장성우,2022,31,C,128.0,383.6666666666667,0.25715463771201474,0.333,0.3753333333333333,0.7083333333333334,83.83333333333333,11.333333333333334,61.0,36.666666666666664,98.66666666666667,11.666666666666666,0.0,44.333333333333336,73.0,0.3333333333333333,,,-1.0416666666666667,0.7999999999999999,2.4,4,42.0,10.5,KT
황재균,2022,35,3B,125.0,480.6666666666667,0.2957524481772486,0.36166666666666664,0.4603333333333334,0.8220000000000001,117.60000000000001,17.0,73.33333333333333,86.66666666666667,142.66666666666666,22.333333333333332,3.3333333333333335,48.333333333333336,87.0,10.666666666666666,,,0.8753333333333332,2.976666666666667,8.930000000000001,4,60.0,15.0,KT
김재환,2022,34,OF,137.66666666666666,495.3333333333333,0.27400545644119695,0.37233333333333335,0.4763333333333333,0.8486666666666668,146.29999999999998,24.0,102.0,81.33333333333333,135.66666666666666,23.0,2.6666666666666665,78.33333333333333,131.33333333333334,3.6666666666666665,,,0.9170000000000001,5.1066666666666665,15.32,4,115.0,28.75,두산
박건우,2022,31,OF,127.33333333333333,467.6666666666667,0.31600208028837096,0.38866666666666666,0.45933333333333337,0.8479999999999999,149.5666666666667,10.0,65.66666666666667,89.33333333333333,147.66666666666666,32.666666666666664,2.3333333333333335,50.666666666666664,64.66666666666667,11.0,,,-0.0043333333333333375,5.036666666666666,15.11,6,100.0,16.67,NC
강민호,2022,37,C,118.0,369.0,0.27068946133113875,0.3416666666666666,0.4566666666666667,0.7983333333333333,95.56666666666666,16.666666666666668,57.666666666666664,45.666666666666664,100.33333333333333,18.666666666666668,0.0,36.333333333333336,61.0,0.0,,,-0.373,1.7966666666666669,5.390000000000001,4,36.0,9.0,삼성
박해민,2022,32,OF,134.33333333333334,483.0,0.27342262717276083,0.3486666666666667,0.37333333333333335,0.7220000000000001,84.96666666666667,7.0,51.0,75.33333333333333,131.66666666666666,18.666666666666668,4.333333333333333,55.333333333333336,80.33333333333333,31.333333333333332,,,-1.6623333333333334,2.2733333333333334,6.82,4,60.0,15.0,LG
김현수,2022,34,OF,140.66666666666666,526.3333333333334,0.3065544283298861,0.381,0.465,0.8460000000000001,141.56666666666666,16.666666666666668,99.0,81.0,161.66666666666666,31.666666666666668,1.0,64.66666666666667,49.0,2.0,,,2.077,5.036666666666666,15.11,6,115.0,19.17,LG
박병호,2022,36,1B,111.0,383.3333333333333,0.24359247551568786,0.35766666666666663,0.48,0.8376666666666667,129.83333333333334,24.666666666666668,80.0,65.33333333333333,94.33333333333333,17.333333333333332,0.0,60.666666666666664,124.0,0.0,,,0.026000000000000023,3.923333333333334,11.770000000000001,3,30.0,10.0,KT
나성범,2022,33,OF,99.0,396.0,0.3233675586816504,0.3893333333333333,0.5833333333333334,0.9726666666666666,156.03333333333333,23.666666666666668,75.66666666666667,76.66666666666667,121.33333333333333,26.0,1.3333333333333333,33.0,109.66666666666667,2.0,,,1.391333333333333,3.77,11.31,6,150.0,25.0,KIA
정훈,2022,37,1B,123.0,448.0,0.29365151058917993,0.381,0.4325,0.8135,110.7,12.5,68.5,71.0,131.5,23.0,1.0,62.0,87.0,9.5,,,-0.39949999999999997,3.4450000000000003,6.890000000000001,3,18.0,6.0,롯데
손아섭,2022,36,OF,138.0,531.3333333333334,0.3219873062445902,0.38833333333333336,0.43,0.8183333333333334,119.43333333333334,8.0,68.66666666666667,88.0,171.33333333333334,31.333333333333332,1.0,58.0,71.66666666666667,9.666666666666666,,,0.9986666666666667,4.196666666666666,12.59,4,64.0,16.0,NC
유강남,2023,30,C,135.33333333333334,414.0,0.25592304071523214,0.32433333333333336,0.38033333333333336,0.7046666666666667,105.5,11.666666666666666,60.333333333333336,48.0,106.0,16.666666666666668,0.0,30.333333333333332,85.66666666666667,1.0,,,-0.9213333333333332,1.9699999999999998,5.909999999999999,4,80.0,20.0,롯데
박동원,2023,32,C,122.0,374.0,0.2469843715606427,0.338,0.4406666666666667,0.7786666666666667,115.0,17.333333333333332,63.333333333333336,52.666666666666664,92.33333333333333,21.0,0.0,45.333333333333336,92.33333333333333,1.0,,,-0.8656666666666667,2.5866666666666664,7.76,4,65.0,16.25,LG
채은성,2023,31,1B,115.0,423.3333333333333,0.2884194102914535,0.3546666666666667,0.447,0.8016666666666667,128.6,14.333333333333334,84.33333333333333,55.333333333333336,122.33333333333333,21.0,1.3333333333333333,32.333333333333336,79.0,3.3333333333333335,,,-0.7093333333333334,3.0566666666666666,9.17,6,90.0,15.0,한화
양의지,2023,36,C,133.66666666666666,456.0,0.31197372409367,0.39799999999999996,0.5546666666666666,0.9526666666666666,142.9,27.666666666666668,109.66666666666667,76.0,142.66666666666666,26.333333333333332,1.0,58.333333333333336,51.666666666666664,3.3333333333333335,,,1.7739999999999998,5.27,15.809999999999999,6,152.0,25.33,두산
노진혁,2023,33,SS,118.0,384.3333333333333,0.2807288340075225,0.361,0.454,0.8150000000000001,113.2,14.333333333333334,71.66666666666667,53.666666666666664,107.66666666666667,22.666666666666668,1.0,45.333333333333336,100.33333333333333,1.0,,,0.19333333333333336,2.51,7.529999999999999,4,50.0,12.5,롯데
박민우,2023,31,2B,93.33333333333333,345.6666666666667,0.2908438417003727,0.371,0.391,0.762,106.13333333333333,4.333333333333333,39.666666666666664,57.666666666666664,104.0,18.0,3.0,33.333333333333336,42.0,15.333333333333334,,,-0.5686666666666667,2.4966666666666666,7.49,8,140.0,17.5,NC
박세혁,2023,30,C,126.0,355.5,0.25865384615384607,0.33399999999999996,0.33999999999999997,0.6739999999999999,92.85,3.5,46.0,40.0,92.0,15.5,1.5,34.0,58.0,3.5,,,-1.445,0.66,1.32,4,46.0,11.5,NC
김상수,2023,34,SS,126.0,416.5,0.2699433404878949,0.35850000000000004,0.351,0.7095,89.1,4.0,44.5,58.5,112.0,17.5,2.0,53.5,53.0,7.0,,,-1.3745,2.355,4.71,4,29.0,7.25,KT
오태곤,2023,35,OF,115.33333333333333,244.0,0.25784284779511696,0.31233333333333335,0.387,0.6993333333333333,84.26666666666667,6.0,31.0,43.666666666666664,62.666666666666664,12.0,0.6666666666666666,14.0,55.666666666666664,11.666666666666666,,,-0.836,0.9366666666666666,2.81,4,19.0,4.75,SSG
이명기,2023,35,OF,96.0,334.0,0.29963669092385875,0.392,0.378,0.77,117.85000000000001,2.0,29.5,56.0,101.0,15.0,1.5,43.5,52.5,9.0,,,-0.18749999999999997,2.485,4.97,1,1.0,1.0,한화
오지환,2024,34,SS,134.0,460.0,0.2637712086355655,0.35433333333333333,0.4073333333333333,0.7616666666666666,119.33333333333333,13.666666666666666,68.66666666666667,67.33333333333333,121.33333333333333,19.666666666666668,3.0,60.0,90.33333333333333,16.0,,,-0.47900000000000004,3.926666666666667,11.780000000000001,6,124.0,20.67,LG
김선빈,2024,35,2B,129.66666666666666,475.0,0.30477433720820524,0.37633333333333335,0.36966666666666664,0.746,114.76666666666665,2.6666666666666665,58.666666666666664,49.0,144.33333333333334,23.666666666666668,0.0,53.0,37.333333333333336,5.333333333333333,,,0.22466666666666668,3.813333333333333,11.44,3,30.0,10.0,KIA
양석환,2024,31,1B,126.66666666666667,472.3333333333333,0.26583992639868,0.32633333333333336,0.4586666666666666,0.785,120.83333333333333,23.0,78.66666666666667,65.66666666666667,126.33333333333333,21.333333333333332,0.3333333333333333,38.333333333333336,123.33333333333333,2.3333333333333335,,,-0.2976666666666667,2.7699999999999996,8.309999999999999,6,78.0,13.0,두산
최정,2025,38,3B,126.0,451.0,0.284512896254796,0.38599999999999995,0.5489999999999999,0.9349999999999999,143.79999999999998,30.666666666666668,93.66666666666667,89.0,128.66666666666666,26.333333333333332,0.6666666666666666,60.0,99.0,8.0,,,2.093,4.489999999999999,13.469999999999999,4,110.0,27.5,SSG
허경민,2025,32,3B,122.0,426.0,0.28892321263424375,0.35733333333333334,0.39999999999999997,0.7573333333333333,115.33333333333333,7.333333333333333,56.333333333333336,57.333333333333336,123.0,24.666666666666668,0.3333333333333333,35.666666666666664,30.333333333333332,8.0,,,-0.2883333333333333,2.4999999999999996,7.499999999999999,4,40.0,10.0,KT
심우준,2025,32,SS,92.5,278.5,0.25298145549929846,0.3265,0.3225,0.649,78.5,3.5,31.0,45.5,69.0,6.0,1.0,30.0,52.0,15.0,,,-1.6495,1.0899999999999999,2.1799999999999997,4,50.0,12.5,한화
류지혁,2025,31,IF,119.66666666666667,387.3333333333333,0.2668280293004355,0.35000000000000003,0.32699999999999996,0.677,91.96666666666665,2.3333333333333335,43.0,53.666666666666664,103.66666666666667,13.0,1.3333333333333333,45.0,75.33333333333333,15.0,,,-1.5006666666666666,1.3,3.9000000000000004,4,26.0,6.5,삼성
서건창,2025,36,2B,85.5,211.0,0.2670445599118249,0.3575,0.355,0.7124999999999999,100.2,1.5,22.0,39.5,56.0,12.0,1.0,28.0,37.5,5.5,,,-0.774,1.145,2.29,2,5.0,2.5,KIA
김성욱,2025,36,OF,111.0,268.5,0.21368715083798873,0.297,0.38,0.677,82.44999999999999,11.5,38.0,41.5,56.5,9.0,1.0,23.5,71.0,8.0,,,-0.989,0.645,1.29,2,3.0,1.5,NC
박찬호,2026,32,SS,132.66666666666666,494.3333333333333,0.2981675925611411,0.36066666666666664,0.37433333333333335,0.735,107.96666666666665,4.333333333333333,51.666666666666664,78.0,147.33333333333334,20.0,2.3333333333333335,50.0,56.333333333333336,25.666666666666668,,,-0.902,3.2533333333333334,9.76,4,80.0,20.0,두산
강백호,2026,26,1B,103.33333333333333,369.6666666666667,0.27286476641067076,0.355,0.4543333333333333,0.8093333333333333,111.36666666666667,16.333333333333332,65.33333333333333,55.0,102.33333333333333,18.333333333333332,0.6666666666666666,44.666666666666664,82.0,3.6666666666666665,,,-0.17666666666666667,2.026666666666667,6.08,4,100.0,25.0,한화
김현수,2026,38,OF,136.66666666666666,496.0,0.29505776710664416,0.36833333333333335,0.4076666666666666,0.7760000000000001,116.3,8.666666666666666,82.33333333333333,60.0,146.33333333333334,27.333333333333332,1.3333333333333333,56.333333333333336,67.33333333333333,4.0,,,0.020000000000000018,2.94,8.82,3,50.0,16.67,KT
강민호,2026,41,C,129.33333333333334,416.3333333333333,0.28748986163643225,0.35566666666666663,0.4526666666666667,0.8083333333333335,109.8,15.666666666666666,75.0,48.333333333333336,119.66666666666667,20.333333333333332,0.6666666666666666,40.666666666666664,62.0,3.6666666666666665,,,-0.23900000000000002,2.933333333333333,8.799999999999999,2,20.0,10.0,삼성
조수행,2026,33,OF,121.33333333333333,222.0,0.24270648787413393,0.31833333333333336,0.27366666666666667,0.5920000000000001,69.73333333333333,0.3333333333333333,18.666666666666668,43.666666666666664,54.666666666666664,3.6666666666666665,1.0,23.333333333333332,40.0,40.0,,,-0.669,0.26333333333333336,0.79,4,16.0,4.0,두산
최형우,2026,43,OF,123.33333333333333,441.6666666666667,0.2962201257550497,0.3866666666666667,0.505,0.8916666666666666,139.73333333333335,21.0,92.0,68.33333333333333,131.0,26.666666666666668,1.3333333333333333,61.333333333333336,89.0,0.6666666666666666,,,2.2576666666666667,4.116666666666667,12.350000000000001,2,26.0,13.0,KIA
